order_id,order_date,region,category,product,quantity,unit_price,discount_percent,unit_cost
1,2025-12-13,North America,Electronics,Laptop,5,374.89,0,270.27
2,2025-01-14,Europe,Sports,Football,1,149.61,0,97.49
3,2025-03-23,South America,Sports,Tennis Racket,8,888.01,20,675.59
4,2025-02-17,South America,Home,Lamp,3,330.82,20,198.82
5,2025-08-24,North America,Electronics,Keyboard,6,909.55,20,466.63
6,2025-07-05,Europe,Sports,Football,9,446.84,15,306.33
7,2025-02-21,South America,Electronics,Laptop,4,1161.87,0,879.07
8,2025-05-17,North America,Home,Shelf,6,252.35,0,142.04
9,2025-11-24,Europe,Clothing,Jeans,3,698.77,0,556.82
10,2025-05-18,North America,Home,Chair,4,1234.49,20,734.07
11,2025-11-26,South America,Clothing,Jacket,4,986.6,5,755.15
12,2025-10-27,South America,Clothing,Jacket,3,377.47,10,249.77
13,2025-02-16,North America,Sports,Yoga Mat,4,1496.02,0,976.69
14,2025-07-17,South America,Electronics,Mouse,3,1190.2,5,808.05
15,2025-02-28,Asia,Sports,Yoga Mat,9,1292.56,0,910.07
16,2025-05-15,Europe,Home,Chair,5,657.8,5,329.54
17,2025-03-24,North America,Electronics,Keyboard,9,917.37,0,561.59
18,2025-06-07,Europe,Home,Shelf,1,176.68,0,134.92
19,2025-02-05,Europe,Electronics,Mouse,10,1420.95,0,1022.48
20,2025-08-05,Europe,Clothing,Shoes,9,256.04,10,195.03
21,2025-09-22,South America,Clothing,Jacket,7,1492.77,15,913.61
22,2025-04-28,Europe,Electronics,Mouse,4,105.4,0,71.3
23,2025-02-06,Europe,Electronics,Laptop,1,351.12,0,266.11
24,2025-10-20,South America,Home,Shelf,4,813.46,15,635.03
25,2025-07-01,South America,Clothing,Shoes,7,293.71,0,204.92
26,2025-07-26,Asia,Sports,Dumbbell,1,1013.31,15,536.57
27,2025-04-04,Asia,Electronics,Mouse,4,293.41,5,159.04
28,2025-02-20,North America,Sports,Tennis Racket,2,670.26,20,507.25
29,2025-07-25,North America,Electronics,Laptop,4,257.8,5,166.13
30,2025-08-21,Asia,Clothing,Shoes,1,1478.11,0,1149.9
31,2025-10-24,North America,Sports,Dumbbell,3,292.95,0,231.61
32,2025-09-29,Europe,Home,Chair,1,880.42,10,683.04
33,2025-05-01,South America,Electronics,Laptop,3,112.1,0,78.76
34,2025-12-03,Asia,Electronics,Mouse,10,895.83,10,469.95
35,2025-11-27,Asia,Home,Desk,6,365.64,5,197.18
36,2025-02-21,North America,Sports,Yoga Mat,2,23.88,10,19.09
37,2025-07-09,Asia,Clothing,Jacket,3,1400.56,0,1069.72
38,2025-12-01,North America,Clothing,Shoes,9,1058.27,10,841.49
39,2025-03-21,Asia,Home,Chair,3,404.05,0,292.02
40,2025-09-16,South America,Home,Desk,6,313.36,15,236.86
41,2025-01-02,Asia,Home,Chair,2,955.08,20,556.82
