Order_ID,Date,Region,Salesperson,Product,Category,Units,Unit_Price,Discount,Customer_Type
1001,2023-01-05,North,Alice,Laptop,Electronics,2,75000,0.05,Corporate
1002,2023-01-08,South,Bob,Phone,Electronics,5,25000,0.10,Retail
1003,2023-01-12,East,Carol,Desk,Furniture,3,12000,0.00,Corporate
1004,2023-01-15,West,David,Laptop,Electronics,1,75000,0.15,Retail
1005,2023-01-20,North,Alice,Chair,Furniture,10,5000,0.05,Corporate
1006,2023-02-02,South,Bob,Tablet,Electronics,4,35000,0.10,Retail
1007,2023-02-07,East,Carol,Laptop,Electronics,2,75000,0.05,Corporate
1008,2023-02-14,West,David,Phone,Electronics,6,25000,0.00,Retail
1009,2023-02-18,North,Alice,Desk,Furniture,2,12000,0.10,Corporate
1010,2023-02-22,South,Bob,Chair,Furniture,8,5000,0.05,Retail
1011,2023-03-03,East,Carol,Phone,Electronics,3,25000,0.00,Corporate
1012,2023-03-09,West,David,Tablet,Electronics,5,35000,0.10,Retail
1013,2023-03-15,North,Alice,Laptop,Electronics,3,75000,0.05,Corporate
1014,2023-03-19,South,Bob,Desk,Furniture,4,12000,0.00,Retail
1015,2023-03-25,East,Carol,Chair,Furniture,12,5000,0.05,Corporate
1016,2023-04-04,West,David,Laptop,Electronics,2,75000,0.10,Retail
1017,2023-04-10,North,Alice,Phone,Electronics,7,25000,0.00,Corporate
1018,2023-04-16,South,Bob,Tablet,Electronics,3,35000,0.15,Retail
1019,2023-04-20,East,Carol,Desk,Furniture,1,12000,0.05,Corporate
1020,2023-04-28,West,David,Chair,Furniture,15,5000,0.00,Retail
1021,2023-05-05,North,Alice,Tablet,Electronics,2,35000,0.10,Corporate
1022,2023-05-11,South,Bob,Laptop,Electronics,1,75000,0.05,Retail
1023,2023-05-17,East,Carol,Phone,Electronics,4,25000,0.10,Corporate
1024,2023-05-23,West,David,Desk,Furniture,3,12000,0.00,Retail
1025,2023-05-29,North,Alice,Chair,Furniture,6,5000,0.05,Corporate
1026,2023-06-06,South,Bob,Laptop,Electronics,3,75000,0.00,Retail
1027,2023-06-12,East,Carol,Tablet,Electronics,5,35000,0.10,Corporate
1028,2023-06-18,West,David,Phone,Electronics,8,25000,0.05,Retail
1029,2023-06-24,North,Alice,Desk,Furniture,2,12000,0.10,Corporate
1030,2023-06-30,South,Bob,Chair,Furniture,9,5000,0.00,Retail
1031,2023-07-05,East,Carol,Laptop,Electronics,4,75000,0.05,Corporate
1032,2023-07-11,West,David,Tablet,Electronics,3,35000,0.10,Retail
1033,2023-07-17,North,Alice,Phone,Electronics,5,25000,0.00,Corporate
1034,2023-07-23,South,Bob,Desk,Furniture,6,12000,0.05,Retail
1035,2023-07-29,East,Carol,Chair,Furniture,11,5000,0.10,Corporate
1036,2023-08-04,West,David,Laptop,Electronics,2,75000,0.15,Retail
1037,2023-08-10,North,Alice,Phone,Electronics,6,25000,0.05,Corporate
1038,2023-08-16,South,Bob,Tablet,Electronics,4,35000,0.00,Retail
1039,2023-08-22,East,Carol,Desk,Furniture,3,12000,0.10,Corporate
1040,2023-08-28,West,David,Chair,Furniture,14,5000,0.05,Retail
1041,2023-09-03,North,Alice,Laptop,Electronics,1,75000,0.00,Corporate
1042,2023-09-09,South,Bob,Phone,Electronics,7,25000,0.10,Retail
1043,2023-09-15,East,Carol,Tablet,Electronics,2,35000,0.05,Corporate
1044,2023-09-21,West,David,Desk,Furniture,5,12000,0.00,Retail
1045,2023-09-27,North,Alice,Chair,Furniture,8,5000,0.10,Corporate
1046,2023-10-03,South,Bob,Laptop,Electronics,3,75000,0.05,Retail
1047,2023-10-09,East,Carol,Phone,Electronics,5,25000,0.00,Corporate
1048,2023-10-15,West,David,Tablet,Electronics,4,35000,0.10,Retail
1049,2023-10-21,North,Alice,Desk,Furniture,2,12000,0.05,Corporate
1050,2023-10-27,South,Bob,Chair,Furniture,10,5000,0.00,Retail
1051,2023-11-02,East,Carol,Laptop,Electronics,3,75000,0.10,Corporate
1052,2023-11-08,West,David,Phone,Electronics,6,25000,0.05,Retail
1053,2023-11-14,North,Alice,Tablet,Electronics,5,35000,0.00,Corporate
1054,2023-11-20,South,Bob,Desk,Furniture,4,12000,0.10,Retail
1055,2023-11-26,East,Carol,Chair,Furniture,13,5000,0.05,Corporate
1056,2023-12-02,West,David,Laptop,Electronics,4,75000,0.00,Retail
1057,2023-12-08,North,Alice,Phone,Electronics,8,25000,0.10,Corporate
1058,2023-12-14,South,Bob,Tablet,Electronics,6,35000,0.05,Retail
1059,2023-12-20,East,Carol,Desk,Furniture,3,12000,0.00,Corporate
1060,2023-12-26,West,David,Chair,Furniture,16,5000,0.10,Retail
